ID,Condition,SuccessRate,ElbAng_Ext,MoveTime,BB_SLR,BB_LLR,TLong_SLR,TLong_LLR
1,A_0.5x,80,2.00982472316389,362.575,1.09396435346057,27.6480027076097,-0.0384587740776058,0.292360393191419
2,A_0.5x,70,4.0529873509079,360.6,0.712568811702754,26.0792422756795,-0.766403561992101,0.0611488036683647
3,A_0.5x,72.5,3.7207979077139,370.3,5.38793020462417,22.5145901612537,-0.118367678496884,-0.236447397191759
4,A_0.5x,30,4.97324737838341,431.025,3.2435739820135,7.85294289094522,-0.0436752375635128,-0.154082442499176
5,A_0.5x,82.5,1.46691763025685,339.75,1.33295588428812,9.82702465394471,-0.483979371107394,-0.859038783207716
6,A_0.5x,60,1.32548260044197,443.95,1.36264760675376,4.27834107479772,0.0418051853762676,0.250864236682242
7,A_0.5x,77.5,2.03059234636575,318.675,3.11384126474851,23.3252204298979,-0.579285936840237,4.64788101604818
8,A_0.5x,60,1.36991964087545,405.65,0.102060528076343,0.247769391308635,-0.22816098603494,0.120760675078692
9,A_0.5x,2.5,0.873898424217188,571.2,0.159069939144427,1.53453235635765,0.0291098855908838,-0.00134082037378521
10,A_0.5x,37.5,3.57059141512897,417.25,2.6681484641112,31.308673701299,0.0881457660893924,0.273470512475024
11,A_0.5x,80,3.06232143221331,339.975,4.04062897931409,10.5329040067491,-0.1943667586197,1.64090149940263
12,A_0.5x,17.5,2.39489217430468,522.6,0.68104371086442,4.12194029689433,-0.00118173327173387,0.322054538176365
1,B_1x,42.5,1.93757201790788,454.15,0.696872278236691,22.7975176265824,0.0161463535459245,0.208740252803264
2,B_1x,55,3.67639641954468,391.525,0.103859759787029,18.1304948870294,0.122074479614275,0.558342553646714
3,B_1x,45,4.31949434975946,404.025,6.79196941822135,15.9987229646766,0.0347478146923614,-0.0487809829639638
4,B_1x,55,3.30702329450215,450.375,2.38880414852752,6.16545651748431,-0.120368544956618,-0.556332181515211
5,B_1x,87.5,0.792623140413827,347.625,1.43195094840503,8.98370598972021,-0.229163694885459,-1.03058961024917
6,B_1x,42.5,1.55530975069594,526.05,0.686663708751878,3.28132480425123,0.0513686568060406,0.265174325053864
7,B_1x,97.5,1.43255583795314,278,1.52625780282451,5.97981071752537,0.133277703941888,-0.0276922639921365
8,B_1x,85,0.86505520933331,345.25,0.0697742844678072,0.367089262169646,-0.0111437194855023,0.0601010763754227
9,B_1x,10,0.731938048426091,543.35,0.185671195773833,1.83147964671583,0.0567085819464971,0.0480608254010817
10,B_1x,25,2.18206897365762,492.575,0.405920899496818,12.8895222431854,0.0049586646309155,0.0733634471962809
11,B_1x,87.5,2.38682209071454,310.25,3.27012248355932,6.5123810894654,-0.561022247209234,0.434494788538672
12,B_1x,27.5,2.05761711554695,476.65,0.480190624226271,4.3548670765606,0.0382483009156459,0.447929075398908
1,C_2x,92.5,2.30963269145103,323.5,4.23918520981559,27.6162355537457,-0.585959275938907,-0.7131047774842
2,C_2x,70,3.44923247236635,388.9,3.27326845638488,21.8315383706673,-0.0270637253912222,0.0454123263019073
3,C_2x,87.5,3.70310900805886,315.225,11.9096205255126,26.5999484728617,-0.431037483760647,-0.797752406393262
4,C_2x,72.5,3.07464805600971,362.625,3.39475912760614,9.70358018208334,-0.496211009621511,-0.293336323670211
5,C_2x,90,1.41502879129199,281.875,1.89803704690673,11.0914996204378,-1.18087183746482,-2.48476935892925
6,C_2x,45,2.02662193081301,500.45,1.8617020390321,8.89824193460925,-1.02516742335844,-1.54308624661651
